latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.425304,-71.36563,47.0,0,GMT,GMT

time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),snowfall_sum (cm)
2022-01-01,50.3,42.4,45.4,0.00
2022-01-02,47.1,36.6,43.7,0.00
2022-01-03,38.4,21.2,26.1,0.00
2022-01-04,32.7,14.5,22.2,0.00
2022-01-05,45.9,24.4,33.5,0.00
2022-01-06,39.9,29.3,35.1,0.00
2022-01-07,30.4,27.2,28.7,7.56
2022-01-08,27.5,11.6,19.9,0.00
2022-01-09,39.5,9.2,28.0,0.00
2022-01-10,37.9,21.7,29.9,0.00
2022-01-11,21.4,8.0,14.2,0.07
2022-01-12,39.7,9.4,21.5,0.00
2022-01-13,46.6,26.7,33.4,0.00
2022-01-14,39.0,26.4,31.8,0.00
2022-01-15,25.5,0.5,8.6,0.00
2022-01-16,29.0,5.6,13.8,0.00
2022-01-17,45.1,20.4,35.7,3.36
2022-01-18,35.9,20.6,27.5,0.07
2022-01-19,44.8,15.5,27.8,0.00
2022-01-20,37.0,23.9,34.0,0.91
2022-01-21,25.1,6.8,15.1,0.00
2022-01-22,26.8,9.3,16.0,0.00
2022-01-23,35.1,17.1,24.2,0.00
2022-01-24,31.3,19.4,25.4,0.35
2022-01-25,42.0,24.0,32.2,1.12
2022-01-26,27.8,16.0,21.3,0.00
2022-01-27,28.3,9.6,16.7,0.00
2022-01-28,34.8,20.8,27.9,0.07
2022-01-29,29.1,10.9,19.4,22.33
2022-01-30,19.5,7.9,12.1,2.45
2022-01-31,28.3,3.1,12.8,0.00
2022-02-01,33.0,5.4,18.1,0.00
2022-02-02,44.3,27.4,33.9,0.07
2022-02-03,42.7,33.9,38.9,0.00
2022-02-04,38.4,24.5,31.8,0.07
2022-02-05,25.4,15.5,20.1,2.31
2022-02-06,25.6,0.7,11.6,0.00
2022-02-07,35.6,9.8,22.3,0.00
2022-02-08,44.0,34.7,36.9,0.00
2022-02-09,44.3,23.7,32.5,0.00
2022-02-10,50.3,29.0,37.2,0.00
2022-02-11,52.5,26.8,37.9,0.00
2022-02-12,58.0,41.4,48.2,0.00
2022-02-13,42.1,26.3,31.0,2.87
2022-02-14,25.4,12.5,19.9,2.45
2022-02-15,26.0,7.4,14.5,0.00
2022-02-16,44.0,13.7,26.8,0.00
2022-02-17,60.5,37.1,49.5,0.00
2022-02-18,59.4,28.4,47.7,0.00
2022-02-19,38.2,18.3,26.4,0.98
2022-02-20,35.0,14.1,23.3,0.00
2022-02-21,55.1,26.5,38.1,0.00
2022-02-22,51.5,27.2,38.3,0.00
2022-02-23,67.4,41.3,56.7,0.00
2022-02-24,41.9,18.6,27.0,0.00
2022-02-25,33.2,18.1,26.9,17.22
2022-02-26,28.9,7.8,17.3,0.14
2022-02-27,38.7,15.4,24.6,0.00
2022-02-28,33.0,9.4,19.7,0.00
2022-03-01,40.6,-3.1,16.9,0.00
2022-03-02,40.6,31.0,36.7,0.00
2022-03-03,35.7,20.4,30.5,1.12
2022-03-04,31.3,4.2,17.5,0.00
2022-03-05,38.8,14.5,24.7,0.00
2022-03-06,63.5,32.1,44.5,0.00
2022-03-07,60.1,43.7,53.7,0.00
2022-03-08,58.3,34.6,42.6,0.00
2022-03-09,37.0,27.6,31.4,3.22
2022-03-10,50.8,27.8,36.8,1.82
2022-03-11,52.8,27.7,39.1,0.00
2022-03-12,45.8,30.2,38.8,1.68
2022-03-13,35.7,19.6,26.6,0.56
2022-03-14,50.7,25.7,35.6,0.00
2022-03-15,60.8,39.4,46.6,0.00
2022-03-16,56.5,34.0,42.7,0.00
2022-03-17,58.8,36.3,45.6,0.00
2022-03-18,70.5,45.0,54.9,0.00
2022-03-19,60.1,43.8,51.4,0.00
2022-03-20,60.9,42.0,51.0,0.00
2022-03-21,55.5,38.6,46.8,0.00
2022-03-22,48.1,30.2,40.9,0.00
2022-03-23,46.9,27.1,37.1,0.00
2022-03-24,43.4,36.1,38.8,0.07
2022-03-25,60.5,36.5,45.9,0.00
2022-03-26,51.7,36.8,45.7,0.00
2022-03-27,48.4,34.0,40.9,0.00
2022-03-28,38.1,24.0,28.9,0.00
2022-03-29,37.9,17.1,26.1,0.00
2022-03-30,48.1,25.5,34.4,0.00
2022-03-31,65.7,36.5,48.0,0.00
2022-04-01,61.0,47.0,54.5,0.00
2022-04-02,50.6,32.6,41.3,0.00
2022-04-03,51.1,31.2,40.1,0.00
2022-04-04,56.5,34.6,43.0,0.00
2022-04-05,58.8,32.9,45.8,0.00
2022-04-06,48.2,38.4,43.1,0.00
2022-04-07,50.4,36.7,43.0,0.00
